Salary,Level,Year of Experience,Programming Language,Language,Lang,Location,Cluster
30000000.0,Quản lý / Giám sát,4 năm,Khác,tiếng anh,vi,Hà Nội,4
30000000.0,Quản lý / Giám sát,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
15000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
9500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Đà Nẵng,5
13500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
19550000.0,Nhân viên,1 năm,Khác,Không yêu cầu,en,Hồ Chí Minh,3
35000000.0,Trưởng nhóm,3 năm,java,Không yêu cầu,vi,Hà Nội,4
15000000.0,Nhân viên,3 năm,javascript,Không yêu cầu,vi,Hà Nội,4
21500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
34500000.0,Nhân viên,2 năm,java,tiếng anh,vi,Hà Nội,4
34500000.0,Nhân viên,2 năm,c++,tiếng anh,vi,Hà Nội,4
34500000.0,Nhân viên,2 năm,python,tiếng anh,vi,Hà Nội,4
21500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
40000000.0,Nhân viên,3 năm,php,tiếng anh,vi,Hà Nội,4
40000000.0,Nhân viên,3 năm,php,tiếng nhật,vi,Hà Nội,4
2000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
12000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
13500000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
28000000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,4
11500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hà Nội,0
3500000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
30000000.0,Nhân viên,4 năm,Khác,Không yêu cầu,vi,Hà Nội,0
8000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng nhật,vi,Hà Nội,4
3000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
30000000.0,Trưởng nhóm,5 năm,c#,Không yêu cầu,vi,Hà Nội,0
3000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hà Nội,0
3000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,tiếng nhật,vi,Hà Nội,4
8000000.0,Nhân viên,Không yêu cầu kinh nghiệm,c#,Không yêu cầu,vi,Hồ Chí Minh,2
