Salary,Level,Year of Experience,Contract Type,Sex,Programming Language,Language,Location
12000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hồ Chí Minh
7000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Nữ,Khác,Không yêu cầu,Hà Nội
2000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hồ Chí Minh
11500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
20000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
12500000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,c#,tiếng anh,Hồ Chí Minh
10000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,javascript,Không yêu cầu,Hồ Chí Minh
12000000.0,Nhân viên,Dưới 1 năm,Toàn thời gian,Không yêu cầu,javascript,tiếng anh,Hà Nội
13500000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,javascript,tiếng anh,Hồ Chí Minh
20000000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,php,Không yêu cầu,Hà Nội
20000000.0,Nhân viên,4 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hà Nội
19500000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,javascript,Không yêu cầu,Hồ Chí Minh
37500000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hồ Chí Minh
35000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hồ Chí Minh
5000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Khác
12500000.0,Nhân viên,Dưới 1 năm,Toàn thời gian,Không yêu cầu,c++,Không yêu cầu,Hà Nội
12500000.0,Nhân viên,Dưới 1 năm,Toàn thời gian,Không yêu cầu,c#,Không yêu cầu,Hà Nội
12500000.0,Nhân viên,Dưới 1 năm,Toàn thời gian,Không yêu cầu,c,Không yêu cầu,Hà Nội
18500000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,java,Không yêu cầu,Hà Nội
27500000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,java,Không yêu cầu,Hà Nội
31500000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
14000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
3000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Toàn thời gian,Nữ,Khác,tiếng nhật,Hà Nội
17500000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
31000000.0,Nhân viên,4 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hồ Chí Minh
23000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hồ Chí Minh
26000000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
23000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hồ Chí Minh
16000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hồ Chí Minh
30000000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,java,Không yêu cầu,Hà Nội
15000000.0,Nhân viên,Dưới 1 năm,Toàn thời gian,Nam,Khác,Không yêu cầu,Hà Nội
12500000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,php,Không yêu cầu,Hồ Chí Minh
12500000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,javascript,Không yêu cầu,Hồ Chí Minh
31500000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
10000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
11500000.0,Thực tập sinh,Dưới 1 năm,Toàn thời gian,Nam,javascript,Không yêu cầu,Hà Nội
35000000.0,Nhân viên,5 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hà Nội
35000000.0,Trưởng nhóm,5 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hà Nội
34500000.0,Nhân viên,Trên 5 năm,Toàn thời gian,Không yêu cầu,c#,tiếng anh,Hồ Chí Minh
34500000.0,Nhân viên,Trên 5 năm,Toàn thời gian,Không yêu cầu,javascript,tiếng anh,Hồ Chí Minh
34500000.0,Nhân viên,Trên 5 năm,Toàn thời gian,Không yêu cầu,python,tiếng anh,Hồ Chí Minh
34500000.0,Nhân viên,Trên 5 năm,Toàn thời gian,Không yêu cầu,java,tiếng anh,Hồ Chí Minh
